digital,dem,rep
0,7578.61,-1120.644
0,-178.911,1430.105
0,37.292,6284.096
0,-365.098,795.247
0,-1154.74,26022.406
1,52793.055,20841.838
1,-399.812,380.902
1,-1839.969,13362.125
1,-5301.722,10642.559
0,2386.718,5895.952
1,10598.5,11321
1,-772.76,2143.344
1,-337.443,1305.611
0,-516.368,831.856
0,11760.45,3466.58
0,332.186,1781.094
1,-839.034,7429.778
0,-73.68,620.088
0,-604.535,159.84
1,-411.732,904.316
1,-314.112,692.832
0,-273.5,396.125
0,-303.56,351.43
0,-283.9,624.7
0,-75.61,931.428
0,-5515.164,15020.796
0,-981.086,4094.154
0,26788.445,21707.561
0,-401.8,659.738
1,2170.908,6233.328
0,-870.752,1014.586
1,-355.361,177.042
0,-160.833,179.492
1,1950.008,16295.6
0,17319.188,41211.732
0,2927.275,-915.53
0,-963.411,1864.13
0,-278.898,281.079
0,-606.585,428.57
0,6003.844,18214.46
0,-3936.36,16269.656
1,705.32,6088.7
1,94671.385,7543.305
0,-24.315,3137.18
0,761.046,4808.57
0,810.3,3039.275
1,-836.89,2165.415
0,62239.936,9950.838
0,19665.3,10637.3
1,30371.955,29716.084
0,-6651.7,31848.55
0,-600.325,30768.918
1,4763.084,28566.672
0,-1486.648,3110.96
0,943.84,8196.48
0,4559.026,16252.834
1,11522.801,1692.497
0,8627.824,11618.6
0,2083.075,15183.443
1,3430.245,12887.968
0,-743.352,1789.56
0,-581.344,769.368
0,-314.61,635.51
0,-3893.564,27840.696
1,-780.859,1345.995
1,281.32,4615.28
0,-527.521,702.782
