County,2012 Obama,2012 Romney, 2012 Voter Turnout ,2016 Clinton,2016 Trump,2016 Voter Turnout,Digital Voting,Voter Turnout Increase (VTI),VTI as % of 2016 Total,DemIncrease,RepIncrease,,
Alachua," 69,699 "," 48,797 "," 120,773 "," 77,278 "," 47,676 "," 130,979 ",0.00," 10,206 ",7.79%,7578.61,-1120.64,,
Baker," 2,311 "," 8,975 "," 11,390 "," 2,132 "," 10,405 "," 12,767 ",0.00," 1,377 ",10.79%,-178.91,1430.11,,
Bay," 22,051 "," 56,876 "," 80,101 "," 22,088 "," 63,160 "," 88,708 ",0.00," 8,607 ",9.70%,37.29,6284.10,,
Bradford," 3,325 "," 8,219 "," 11,664 "," 2,960 "," 9,014 "," 12,231 ",0.00, 567 ,4.64%,-365.10,795.25,,
Brevard," 122,993 "," 159,300 "," 286,428 "," 121,838 "," 185,322 "," 320,627 ",0.00," 34,199 ",10.67%,-1154.74,26022.41,,
Broward," 508,312 "," 244,101 "," 757,354 "," 561,105 "," 264,943 "," 843,767 ",1.00," 86,413 ",10.24%,52793.06,20841.84,,
Calhoun," 1,664 "," 4,366 "," 6,183 "," 1,264 "," 4,747 "," 6,197 ",1.00, 14 ,0.23%,-399.81,380.90,,
Charlotte," 35,906 "," 47,996 "," 84,923 "," 34,066 "," 61,358 "," 98,173 ",1.00," 13,250 ",13.50%,-1839.97,13362.13,,
Citrus," 28,460 "," 44,662 "," 74,169 "," 23,158 "," 55,305 "," 80,973 ",1.00," 6,804 ",8.40%,-5301.72,10642.56,,
Clay," 25,759 "," 70,022 "," 96,805 "," 28,146 "," 75,918 "," 107,838 ",0.00," 11,033 ",10.23%,2386.72,5895.95,,
Collier," 51,698 "," 96,520 "," 149,324 "," 62,297 "," 107,841 "," 174,500 ",1.00," 25,176 ",14.43%,10598.50,11321.00,,
Columbia," 8,462 "," 18,429 "," 27,227 "," 7,689 "," 20,572 "," 29,016 ",1.00," 1,789 ",6.17%,-772.76,2143.34,,
Desoto," 4,174 "," 5,587 "," 9,887 "," 3,837 "," 6,893 "," 10,993 ",1.00," 1,106 ",10.06%,-337.44,1305.61,,
Dixie," 1,798 "," 5,052 "," 6,959 "," 1,282 "," 5,884 "," 7,282 ",0.00, 323 ,4.44%,-516.37,831.86,,
Duval," 196,737 "," 211,615 "," 412,733 "," 208,497 "," 215,082 "," 438,942 ",0.00," 26,209 ",5.97%,11760.45,3466.58,,
Escambia," 58,185 "," 88,711 "," 148,967 "," 58,517 "," 90,492 "," 155,218 ",0.00," 6,251 ",4.03%,332.19,1781.09,,
Flagler," 23,207 "," 26,969 "," 50,707 "," 22,368 "," 34,399 "," 58,402 ",1.00," 7,695 ",13.18%,-839.03,7429.78,,
Franklin," 1,845 "," 3,570 "," 5,494 "," 1,771 "," 4,190 "," 6,108 ",0.00, 614 ,10.05%,-73.68,620.09,,
Gadsden," 15,770 "," 6,630 "," 22,525 "," 15,165 "," 6,790 "," 22,335 ",0.00,-190 ,-0.85%,-604.53,159.84,,
Gilchrist," 1,885 "," 5,917 "," 7,937 "," 1,473 "," 6,821 "," 8,516 ",1.00, 579 ,6.80%,-411.73,904.32,,
Glades," 1,603 "," 2,344 "," 4,004 "," 1,289 "," 3,037 "," 4,414 ",1.00, 410 ,9.29%,-314.11,692.83,,
Gulf," 2,014 "," 4,995 "," 7,126 "," 1,741 "," 5,391 "," 7,375 ",0.00, 249 ,3.38%,-273.50,396.13,,
Hamilton," 2,228 "," 3,138 "," 5,420 "," 1,924 "," 3,489 "," 5,530 ",0.00, 110 ,1.99%,-303.56,351.43,,
Hardee," 2,463 "," 4,696 "," 7,244 "," 2,179 "," 5,321 "," 7,700 ",0.00, 456 ,5.92%,-283.90,624.70,,
Hendry," 4,751 "," 5,355 "," 10,215 "," 4,675 "," 6,286 "," 11,266 ",0.00," 1,051 ",9.33%,-75.61,931.43,,
Hernando," 37,830 "," 44,938 "," 83,928 "," 32,315 "," 59,959 "," 95,324 ",0.00," 11,396 ",11.96%,-5515.16,15020.80,,
Highlands," 16,148 "," 25,915 "," 42,541 "," 15,167 "," 30,009 "," 46,382 ",0.00," 3,841 ",8.28%,-981.09,4094.15,,
Hillsborough," 286,467 "," 250,186 "," 543,429 "," 313,255 "," 271,894 "," 608,263 ",0.00," 64,834 ",10.66%,26788.45,21707.56,,
