digital,dem,rep
1,-1891,1136
0,-1451,455
1,-3373,1529
0,-1294,343
0,-12016,-1306
1,-1162,485
1,-1160,642
1,-2372,-26
1,-4007,1627
1,-2157,799
0,-4385,346
1,-1387,575
0,-9885,-16070
1,-5523,49
0,-1700,68
0,-4133,1430
1,-2906,463
1,-5178,-1459
1,-310,190
0,-5911,-907
1,-891,529
1,-4233,1233
0,-2566,391
1,-1209,161
1,-1792,270
1,-553,231
1,-1676,752
1,-4531,-1415
1,-2302,1497
0,-10980,-874
1,-1702,560
0,-6359,-1061
1,-1390,486
1,-1441,370
0,-2482,490
1,-6645,356
1,-7151,514
1,-3880,1886
1,-1314,543
1,-194,88
0,-56827,-34552
1,-2859,1141
1,-3218,1988
1,-2758,160
1,-9691,1243
0,-23,-7170
1,-593,332
1,-2438,91
1,-2915,1001
0,-4660,-346
1,-1334,477
1,-12545,-4962
1,-1557,264
0,-12110,-773
1,-1316,695
0,-3605,2133
1,-1752,3
1,-3229,1140
1,-6576,-3545
0,-3596,-1164
1,-1471,690
1,-2191,1360
1,-2079,637
1,-1371,104
1,-4957,-1900
1,-1302,487
0,-3278,-5554
0,-3498,-24372
1,-3651,1268
1,-1687,791
0,-10753,-1388
0,-5109,664
